360731726399541250,"I'm at Zeytinburnu Tramvay Durağı (İstanbul, Türkiye) http://t.co/2S5K5zMK2I",7,32,"LOCATION
"
360733232037244928,"Unilever, Unipro'yu satıyor http://t.co/HJ5k9AhtYC",10,15,"ORGANIZATION
"
360733232012079104,"Ayrı ayrı değil omuz omuza, 90 dakika değil ömür boyu! #FenerbahceninBuyukTaraftari",56,65,"ORGANIZATION
"
360733229818462208,"12 milyon 253 bin 137 ücretlinin % 46,19’u olan 5 milyon 659 bin 607 işçi, açlık sınırının altındaki asgari ücretle yaşamaya çalışıyor.",33,39,"PERCENT
"
360733229680037888,DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)  :)),0,23,"ORGANIZATION
"
360733229680037888,DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)  :)),26,30,"LOCATION
"
360733229612929025,Ne zaman mesaj atmaktan veya whatsapptan yazmaktan vazgeçeceksiniz a dostlar,29,36,"MISC
"
360733489773019136,çocuklarini katlederken ve aç susuz iskenceler yaparken bizim camilermizdeki DiyanetinHutbesi ÜmmeteHakarettir,77,83,"ORGANIZATION
"
360733991978012673,İyikiDoğdunAslanYürekli SabriSarıoğlu doğum sırasında bile hastahaneyi tutturamayan sarbi''huyum bu ne yapayım'' dedi..,24,36,"PERSON
"
360733991978012673,İyikiDoğdunAslanYürekli SabriSarıoğlu doğum sırasında bile hastahaneyi tutturamayan sarbi''huyum bu ne yapayım'' dedi..,84,88,"PERSON
"
360733991973826560,Tuğçe Kazaz: Oruçlu ve Huzurluyum http://t.co/smlodLSXnR,0,10,"PERSON
"
360734242768039936,Vapur en guzel toplu tasima araci. Kadikoy-kabatas da en guzel hat bence,35,41,"LOCATION
"
360734242768039936,Vapur en guzel toplu tasima araci. Kadikoy-kabatas da en guzel hat bence,43,49,"LOCATION
"
360734242130501632,#nobeticinankaradayiz bizde geliyoruz,10,15,"LOCATION
"
360734495642619904,Şu an işten çıkıp eve gidip yatmak için 1000tl verirdim. Ama 1000 tl vereceklerse de gelip çalışırdım. Poff döndük yine en başa:(,40,45,"MONEY
"
360734495642619904,Şu an işten çıkıp eve gidip yatmak için 1000tl verirdim. Ama 1000 tl vereceklerse de gelip çalışırdım. Poff döndük yine en başa:(,61,67,"MONEY
"
360734494598246402,"IPhone 6 kablosuz şarj olacakmış,7 bulaşık yıkayabilcekmiş,8 açık kalp ameliyatı yapabilcekmiş,9iyilerin dostu kötülerin düşmanı olcakmış Aç",0,7,"MISC
"
360734494459826176,demi yi unutma dık http://t.co/LnGPwap6BV,0,3,"PERSON
"
360734493201539072,Beni Öyle Alıştırdın ki Yokluğuna ;  - Şimdi Öl İstersen . . !,38,42,"DATE
"
360734492761133056,Yüz Lira İle Evlenilmez,0,7,"MONEY
"
360734490290700288,slm damla ben kartenesinin ablasl yagmur damlasl seni begenerek izliliyorum basarilarnızin devam ini diler im,4,8,"PERSON
"
360734487925100544,"Yarın akşam Şile Değirmen Çayırı köyünde toplu iftar daveti var. Geçen akşam da Muhtar Nedim'in iftar davetine iştirak ettik, Harika oldu",0,10,"DATE
"
360734487925100544,"Yarın akşam Şile Değirmen Çayırı köyünde toplu iftar daveti var. Geçen akşam da Muhtar Nedim'in iftar davetine iştirak ettik, Harika oldu",12,15,"LOCATION
"
360734487925100544,"Yarın akşam Şile Değirmen Çayırı köyünde toplu iftar daveti var. Geçen akşam da Muhtar Nedim'in iftar davetine iştirak ettik, Harika oldu",17,36,"LOCATION
"
360734487925100544,"Yarın akşam Şile Değirmen Çayırı köyünde toplu iftar daveti var. Geçen akşam da Muhtar Nedim'in iftar davetine iştirak ettik, Harika oldu",65,75,"DATE
"
360734487925100544,"Yarın akşam Şile Değirmen Çayırı köyünde toplu iftar daveti var. Geçen akşam da Muhtar Nedim'in iftar davetine iştirak ettik, Harika oldu",87,91,"PERSON
"
360734747204390913,HAYAT BİR YAZIYSA BAŞLIĞI FENERBAHÇE'DİR.,26,35,"ORGANIZATION
"
360734745887383552,"Konuğun sözleri kendini bağlar diyen TRT, senin zibidi spikerin de 'Allah razı olsun' diyor. Yıllardır bu ülkenin kamburusun HESAP VER TRT",37,39,"ORGANIZATION
"
360734745887383552,"Konuğun sözleri kendini bağlar diyen TRT, senin zibidi spikerin de 'Allah razı olsun' diyor. Yıllardır bu ülkenin kamburusun HESAP VER TRT",135,137,"ORGANIZATION
"
360734745488916481,"Bugune kadar milyon tane fotograf cektirmisimdir sevenlerimle. Yollasiniza benle olan fotograflarinizi varsa, eglenelim:)",0,4,"DATE
"
360734745086279685,I'm at Eymen İletişim http://t.co/jhBSfIs6bt,7,20,"ORGANIZATION
"
360734743685378048,Iron Maiden konserine gidememek kadar kötü bir durum varsa da artık yok gibi .(:/&amp;:(/&amp;:(/&amp;:(&amp;/:(,0,10,"MISC
"
360734997717585922,Gallifrey'e taşınıyorum,0,8,"LOCATION
"
360734996669014016,"I'm at Miss Doçura (Manaus, AM) http://t.co/IWIB3Ce0Uk",7,17,"LOCATION
"
360734996669014016,"I'm at Miss Doçura (Manaus, AM) http://t.co/IWIB3Ce0Uk",20,25,"LOCATION
"
360734996329271297,+Aşkım twitter şifreni vermicek misin? -Twitter benim şifre benim !,7,13,"ORGANIZATION
"
360734996329271297,+Aşkım twitter şifreni vermicek misin? -Twitter benim şifre benim !,40,46,"ORGANIZATION
"
360734995368775680,"Cuma günü iş çıkışı şimdi burada olmak vardı değil mi ? Datça Hayıbükü tertemiz masmavi denizi, yemyeşil dağları... http://t.co/lNuhcSmihL",0,8,"DATE
"
360734995368775680,"Cuma günü iş çıkışı şimdi burada olmak vardı değil mi ? Datça Hayıbükü tertemiz masmavi denizi, yemyeşil dağları... http://t.co/lNuhcSmihL",20,24,"DATE
"
360734995368775680,"Cuma günü iş çıkışı şimdi burada olmak vardı değil mi ? Datça Hayıbükü tertemiz masmavi denizi, yemyeşil dağları... http://t.co/lNuhcSmihL",56,60,"LOCATION
"
360734995368775680,"Cuma günü iş çıkışı şimdi burada olmak vardı değil mi ? Datça Hayıbükü tertemiz masmavi denizi, yemyeşil dağları... http://t.co/lNuhcSmihL",62,69,"LOCATION
"
360734994311823360,Mabel Matiz - Sultan Süleyman http://t.co/gDjuw6rXhL,0,10,"PERSON
"
360734994311823360,Mabel Matiz - Sultan Süleyman http://t.co/gDjuw6rXhL,14,28,"PERSON
"
360734994160816129,Tuba kendini üzmekten baska bı sey bilmez mı??,0,3,"PERSON
"
360734993967890432,14.14 Turkiyemmmm ❤,0,4,"TIME
"
360734993967890432,14.14 Turkiyemmmm ❤,6,12,"LOCATION
"
360734993435222016,"I'm at Beyazşehir (Kayseri, Kocasinan) http://t.co/cYUKJNKAAY",7,16,"LOCATION
"
360734993435222016,"I'm at Beyazşehir (Kayseri, Kocasinan) http://t.co/cYUKJNKAAY",19,25,"LOCATION
"
360734993435222016,"I'm at Beyazşehir (Kayseri, Kocasinan) http://t.co/cYUKJNKAAY",28,36,"LOCATION
"
360734992944463874,"Bir insanın nasıl güldüğünden terbiyesini, neye güldüğünden akıl seviyesini anlarsın. Mevlânâ Hazretleri",86,92,"PERSON
"
360734992546021376,BURSA CALON KAPOLRI http://t.co/dRUBg2SXYG,0,4,"LOCATION
"
360734992206270465,"Zemzem kuyusuna bakın.Bilim adamları bakıyor 1,2metre derinlikte 4bin yıldr milyarlarca insana su veriyor bitmiyor fiziksel hiçbir izahı yok",0,12,"LOCATION
"
360734992160145410,ahahahahhahahah dılara :DSFDF:D:DF:DFSA:DF:SDF:SDF:SFD:,16,21,"PERSON
"
360734990851522561,-Aşkım twitter sifreni vermicek misin? +Twitter benim şifre benim,7,13,"ORGANIZATION
"
360734990851522561,-Aşkım twitter sifreni vermicek misin? +Twitter benim şifre benim,40,46,"ORGANIZATION
"
360734990394331136,"""Olmaz dediğin ne varsa hepsi olur. Düşmem dersin düşersin, şaşmam dersin şaşarsın. Öldüm der durur, yine de yaşarsın."" (Hz. Mevlana)",125,131,"PERSON
"
360734989568049153,"yolum Akdeniz Üni. düştü ilk tercihte yırttık, herkes için hayırlısı olsun bakalım...",6,17,"ORGANIZATION
"
360734989530308608,the vampire diaries'ın son bölümünü tekrar izledim ve elanaya yine çok pis zıtlandım.,0,18,"MISC
"
360734989530308608,the vampire diaries'ın son bölümünü tekrar izledim ve elanaya yine çok pis zıtlandım.,54,58,"PERSON
"
360735251573661696,I'm at Power Spor Merkezi http://t.co/FlBa6ltbfO,7,24,"LOCATION
"
360735250789314563,"Fenerbahçe Ülker şu ana kadar Bjelica, Kleiza ve Zoric transferlerini yaptı. Ama en büyük transfer Obradovic, +++",0,15,"ORGANIZATION
"
360735250789314563,"Fenerbahçe Ülker şu ana kadar Bjelica, Kleiza ve Zoric transferlerini yaptı. Ama en büyük transfer Obradovic, +++",30,36,"PERSON
"
360735250789314563,"Fenerbahçe Ülker şu ana kadar Bjelica, Kleiza ve Zoric transferlerini yaptı. Ama en büyük transfer Obradovic, +++",39,44,"PERSON
"
360735250789314563,"Fenerbahçe Ülker şu ana kadar Bjelica, Kleiza ve Zoric transferlerini yaptı. Ama en büyük transfer Obradovic, +++",49,53,"PERSON
"
360735250789314563,"Fenerbahçe Ülker şu ana kadar Bjelica, Kleiza ve Zoric transferlerini yaptı. Ama en büyük transfer Obradovic, +++",99,107,"PERSON
"
360735249828806656,"Kivil, 21, annesi ona yeter artik diyor. Bos vakitlerinde kulaklarini deldirip saciyla ugrasiyor.",0,4,"PERSON
"
360735248214003713,SENA BENİM HER SEYIIM,0,3,"PERSON
"
360735247853289472,Burcu çok iyi insan,0,4,"PERSON
"
360735247152840705,Başa dönersek; “on yılda oluşturulan imaj” kaybedilmiştir. Zaten ortada “imaj”dan başka bir şey yoktu.M.Bekaroğlu,102,112,"PERSON
"
360735246284619776,HAYDİ BUGÜN PC BAŞINDA HEM İFTAR HEMDE SAHURU YAPALIM NE DERSİNİZ SORU İŞARTEİ #TurkishSoldiersWantLinkinPark,6,10,"DATE
"
360735246284619776,HAYDİ BUGÜN PC BAŞINDA HEM İFTAR HEMDE SAHURU YAPALIM NE DERSİNİZ SORU İŞARTEİ #TurkishSoldiersWantLinkinPark,99,108,"MISC
"
360735245886169088,"ne olurdu yerinde duraydı, daha dün kalbim şuradaydı :( http://t.co/RwK5XLnkJv",32,34,"DATE
"
360735245751959552,Gülşen bubikoğlunu deli gibi kıskandığımı söylemiş miydim ?,0,15,"PERSON
"
360735245630308352,Poyrazla birlikte trt çocuğu izliyoruz :D,0,5,"PERSON
"
360735245630308352,Poyrazla birlikte trt çocuğu izliyoruz :D,18,20,"ORGANIZATION
"
360735243453468673,Esed amca benim üzerime bomba attı artık parmaklarımla kalem tutamayacağım. http://t.co/BSb9UVPl8v,0,3,"PERSON
"
360735243348615169,"Gizli açık çok sadaka verin ki, rızkınız bollaşsın, yardıma mazhar olun ve duanız kabul edilsin.[İbni Mace] #Hadis",97,105,"PERSON
"
360735243243761664,şimdilik iç hukuk yollarını zorluyorum..,0,4,"DATE
"
360735243021455360,"Hiçbir komisyon, Hayır yayılır, No marjı:% 100 GToptions ile Para Matchbonus-Make alın! Şimdi Katıl: http://t.co/GaZZjZI1T4",41,45,"PERCENT
"
360735243021455360,"Hiçbir komisyon, Hayır yayılır, No marjı:% 100 GToptions ile Para Matchbonus-Make alın! Şimdi Katıl: http://t.co/GaZZjZI1T4",88,92,"DATE
"
360735242656550913,Ps cafede yakisiklilar hep fifa oynuyo kurtler pes,27,30,"MISC
"
360735242656550913,Ps cafede yakisiklilar hep fifa oynuyo kurtler pes,47,49,"MISC
"
360735753518596096,Gezine gezine doğuracağız! #direnhamile  ..MUSTAFA KEMAL ASKERLERİ GELİYOR,43,55,"PERSON
"
360735752218361856,SGK'dan Fark Müjdesi! - Düzce Parantez Gazetesi -http://t.co/ny5MvomkSO,0,2,"ORGANIZATION
"
360735752218361856,SGK'dan Fark Müjdesi! - Düzce Parantez Gazetesi -http://t.co/ny5MvomkSO,24,46,"ORGANIZATION
"
360735752193179649,Başkanlığımız bugünkü hutbe ile mezhepçilik fitnesi sebebiyle bölgemizde yaşanan kardeş kavgasının yanlışlığına işaret etmiştir.,14,18,"DATE
"
360735750951682050,Dünyanın anlamı 19:07,16,20,"TIME
"
360735748216979458,"Sır gibi seversen eğer, muradın gerçekleşir. Çünkü tohum, toprağa gizlenirse yeşerir. | Hz. Mevlana",92,98,"PERSON
"
360735747629785088,Yürüyüş yolunun başından hacıoğluna kadarki gereksiz trafik yoğunluğunu anlamıyorum arkadaş ya,25,32,"LOCATION
"
360735746610569216,Bence Düğün konvoyunda kornaya basmak veya konvoy yapmakta yasaklanmalı! Ne biliyim bunu da tahrik olarak adlandırırlar şimdi! #direnhamile,120,124,"DATE
"
360735746577022976,"Cambridge düşesi Kate Middleton'ın taktığı Givenchy SGV773_Z42 sadece Oasis Bodrum, İstinye Park ve Trump AVM'dedir. http://t.co/CwZlFeiMd9",0,8,"LOCATION
"
360735746577022976,"Cambridge düşesi Kate Middleton'ın taktığı Givenchy SGV773_Z42 sadece Oasis Bodrum, İstinye Park ve Trump AVM'dedir. http://t.co/CwZlFeiMd9",17,30,"PERSON
"
360735746577022976,"Cambridge düşesi Kate Middleton'ın taktığı Givenchy SGV773_Z42 sadece Oasis Bodrum, İstinye Park ve Trump AVM'dedir. http://t.co/CwZlFeiMd9",43,50,"MISC
"
360735746577022976,"Cambridge düşesi Kate Middleton'ın taktığı Givenchy SGV773_Z42 sadece Oasis Bodrum, İstinye Park ve Trump AVM'dedir. http://t.co/CwZlFeiMd9",70,81,"LOCATION
"
360735746577022976,"Cambridge düşesi Kate Middleton'ın taktığı Givenchy SGV773_Z42 sadece Oasis Bodrum, İstinye Park ve Trump AVM'dedir. http://t.co/CwZlFeiMd9",84,95,"LOCATION
"
360735746577022976,"Cambridge düşesi Kate Middleton'ın taktığı Givenchy SGV773_Z42 sadece Oasis Bodrum, İstinye Park ve Trump AVM'dedir. http://t.co/CwZlFeiMd9",100,108,"LOCATION
"
360735745272590336,Sevgili eros oku moku boşver şimdi.Pompalıyla vur beni.Çok caresizim.,8,11,"PERSON
"
360735745272590336,Sevgili eros oku moku boşver şimdi.Pompalıyla vur beni.Çok caresizim.,29,33,"DATE
"
360735745092222979,Twitter sayesinde çocuk ego patlaması yaşıyor twitter'dan çıkınca ise abbas.,0,6,"ORGANIZATION
"
360735745092222979,Twitter sayesinde çocuk ego patlaması yaşıyor twitter'dan çıkınca ise abbas.,46,52,"ORGANIZATION
"
360735745092222979,Twitter sayesinde çocuk ego patlaması yaşıyor twitter'dan çıkınca ise abbas.,70,74,"PERSON
"
360735743796199425,Eminem dinlemiyor olabilirsin ama gelip Eminem illuminati üyesi falan dersen ben de senin zekandan şüphe ederim,0,5,"PERSON
"
360735743796199425,Eminem dinlemiyor olabilirsin ama gelip Eminem illuminati üyesi falan dersen ben de senin zekandan şüphe ederim,40,45,"PERSON
"
360735741405446144,"""Mondial İle Haftanın Mükemmeli"" kaldığı yerden tüm hızıyla devam ediyor! http://t.co/Bkw5g7zODY",1,30,"MISC
"
360736004707069953,ßilmiyorum  yahu sanırım cubuk kraker :p #5LiramOlsaydı,42,46,"MONEY
"
360736004459593728,hayatımda önemli bir değişiklik yapıp bugün oturma odasının kanepesine uzandım.,38,42,"DATE
"
360736003926917121,Berken'le Hazal arasında miras kavgası çıkmış Berken katların yarısını kapmış şimdiden.,0,5,"PERSON
"
360736003926917121,Berken'le Hazal arasında miras kavgası çıkmış Berken katların yarısını kapmış şimdiden.,10,14,"PERSON
"
360736003926917121,Berken'le Hazal arasında miras kavgası çıkmış Berken katların yarısını kapmış şimdiden.,46,51,"PERSON
"
360736003926917121,Berken'le Hazal arasında miras kavgası çıkmış Berken katların yarısını kapmış şimdiden.,78,82,"DATE
"
360736003222286338,manavgat merkezde yangın çok korkuttu,0,14,"LOCATION
"
360736003188736001,Hüseyin Çelik: bla bla ben kusayım sen ye .bla bla bla.. hııı çok da öyle canım hıı. bla bla,0,12,"PERSON
"
360736257292238848,Isparta/Gelendost yolcusu kalmasın..,0,6,"LOCATION
"
360736257292238848,Isparta/Gelendost yolcusu kalmasın..,8,16,"LOCATION
"
360736256801513474,Ali İsmail Korkmaz’ın abisi Gürkan Korkmaz: Davalar çok yavaş ilerliyor. Delillerin karartıldığı şüphesi içindeyiz.,0,17,"PERSON
"
360736256801513474,Ali İsmail Korkmaz’ın abisi Gürkan Korkmaz: Davalar çok yavaş ilerliyor. Delillerin karartıldığı şüphesi içindeyiz.,28,41,"PERSON
"
360736255400615937,"""Ak Parti Osmangazi’den Suriyelilere Ramazan Yardımı #bursa"" AK Parti Osmangazi İlçe Başkanlığı, iç savaştan do... http://t.co/WnO1OtvU3Z",1,8,"ORGANIZATION
"
360736255400615937,"""Ak Parti Osmangazi’den Suriyelilere Ramazan Yardımı #bursa"" AK Parti Osmangazi İlçe Başkanlığı, iç savaştan do... http://t.co/WnO1OtvU3Z",10,18,"LOCATION
"
360736255400615937,"""Ak Parti Osmangazi’den Suriyelilere Ramazan Yardımı #bursa"" AK Parti Osmangazi İlçe Başkanlığı, iç savaştan do... http://t.co/WnO1OtvU3Z",24,29,"LOCATION
"
360736255400615937,"""Ak Parti Osmangazi’den Suriyelilere Ramazan Yardımı #bursa"" AK Parti Osmangazi İlçe Başkanlığı, iç savaştan do... http://t.co/WnO1OtvU3Z",54,58,"LOCATION
"
360736255400615937,"""Ak Parti Osmangazi’den Suriyelilere Ramazan Yardımı #bursa"" AK Parti Osmangazi İlçe Başkanlığı, iç savaştan do... http://t.co/WnO1OtvU3Z",61,94,"ORGANIZATION
"
360736254163296256,Dakikada 70 çekirdek çitliyebiliyor musun? Cevabın hayirsa Pembe'ye saygı duymalisin,59,63,"PERSON
"
360736254079422464,İstanbul İzmir Otobüs Bileti 50 TL'den başlayan fiyatlarla! 70 otobüs firması burada https://t.co/TgpCzueDY6 http://t.co/kUNvXDYYUU,0,7,"LOCATION
"
360736254079422464,İstanbul İzmir Otobüs Bileti 50 TL'den başlayan fiyatlarla! 70 otobüs firması burada https://t.co/TgpCzueDY6 http://t.co/kUNvXDYYUU,9,13,"LOCATION
"
360736254079422464,İstanbul İzmir Otobüs Bileti 50 TL'den başlayan fiyatlarla! 70 otobüs firması burada https://t.co/TgpCzueDY6 http://t.co/kUNvXDYYUU,29,33,"MONEY
"
360736253316050945,Turkiye icin mektup yazan oscarlik zottirikler. O mektubu Mısır Filistin ve diğer zulme uğrayanlar icin yazsaydınız. Adamın dibi idiniz.,0,6,"LOCATION
"
360736253316050945,Turkiye icin mektup yazan oscarlik zottirikler. O mektubu Mısır Filistin ve diğer zulme uğrayanlar icin yazsaydınız. Adamın dibi idiniz.,58,62,"LOCATION
"
360736253316050945,Turkiye icin mektup yazan oscarlik zottirikler. O mektubu Mısır Filistin ve diğer zulme uğrayanlar icin yazsaydınız. Adamın dibi idiniz.,64,71,"LOCATION
"
360736252049362946,Bu günün dinleri yarının mitolojileridir.,0,5,"DATE
"
360736252049362946,Bu günün dinleri yarının mitolojileridir.,17,21,"DATE
"
360736251420237824,"I'm at Kadıköy (İstanbul, Türkiye) w/ 260 others http://t.co/VkDmToIVYf",7,13,"LOCATION
"
360736251420237824,"I'm at Kadıköy (İstanbul, Türkiye) w/ 260 others http://t.co/VkDmToIVYf",16,23,"LOCATION
"
360736251420237824,"I'm at Kadıköy (İstanbul, Türkiye) w/ 260 others http://t.co/VkDmToIVYf",26,32,"LOCATION
"
360736251403452416,Avea inşallah paketi yenileyeceksin..,0,3,"ORGANIZATION
"
360736250828824576,Cardozo gel daaa artik,0,6,"PERSON
"
360736249566334977,Ve nolur perperoglu gelsin,9,18,"PERSON
"
360736248928808961,Kıl bile döndü de sen dönmedin domestos bahar ferahlığı kokulu yarim,31,38,"MISC
"
360736247825698816,Cok sükür bu ayda internet pakedimizi yenileyebildik :D:d,10,14,"DATE
"
360736247242690561,Emre can alinirsa cok iyi olur fm13 deki en iyi en iyi yetisen oyunculardan biri,0,7,"PERSON
"
360736247242690561,Emre can alinirsa cok iyi olur fm13 deki en iyi en iyi yetisen oyunculardan biri,31,34,"MISC
"
360736246106034178,"“İnsanın dini, arkadaşının dini gibidir. Herkes kiminle arkadaşlık ettiğine baksın!” | Hz. Muhammed (s.a.v.)",91,98,"PERSON
"
360736245254590464,Gamze isminden hep nefret ederdim zaten,0,4,"PERSON
"
360736244751278081,"Herkes dahidir. Ama bir balık, ağaca tırmanma yetisine göre yargılanırsa, tüm hayatını aptal olduğuna inanarak geçirir. / Einstein""",122,129,"PERSON
"
360736242746408961,Sonunda geldi telefon çok hızlısın bimeks ;),35,40,"ORGANIZATION
"
360736242666708993,sarisinimi cok özledimmmm - kübos,28,32,"PERSON
"
360736242326962176,"Facebook'ta "" giyinik çıplakları görmemek için yazın gelmesini istemeyen iffetli erkekler."" Diye grup olduğunu biliyor muydunuz?",0,7,"ORGANIZATION
"
360736506857521152,Fatma teyzenin kahvaltı konusu ise alacağı puan ve yarışmaya devam etmesi...,0,4,"PERSON
"
360736506572308480,#nöbeticinankaradayiz sonuç ne olursa olsun birliğimiz bozulmasın.,10,15,"LOCATION
"
360736506488422400,"efenim şimdi, top yuvarlaktır. mamafih ebem mimar olamadığı için biz onu üçgen telakki edebiliriz. hüloooğğğğ.",7,11,"DATE
"
360736757827915776,I'm at Yapı Kredi Bankasi Köprübaşı Şubesi http://t.co/3lMBMl9FlD,7,24,"ORGANIZATION
"
360736757827915776,I'm at Yapı Kredi Bankasi Köprübaşı Şubesi http://t.co/3lMBMl9FlD,26,34,"LOCATION
"
360736756708016128,Mübarek Ramazan Cumasında hani ona buna bulaşmayayım diyorum ama bu kadar da olmak ki mübarek https://t.co/jKIrFZXH9a,16,19,"DATE
"
360737011809779712,Ferrarim yok ama senin için papatya çalabilirim..,0,6,"MISC
"
